종목명,매수평균가,매수수량,매도평균가,매도수량,수수료_제세금,손익금액,매도금액,매수금액,수익률,종목코드,기준날짜
삼성전자,72850,1,73600,1,641,109,73600,72850,0.15,5930,20240201
현대차,195290,1,208000,1,1776,10934,208000,195290,5.26,5380,20240201
삼성전자,73730,1,75200,1,653,817,75200,73730,1.09,5930,20240202
현대차,209550,1,227000,1,1925,15525,227000,209550,6.84,5380,20240202
,,,,,,,,,,,20240203
,,,,,,,,,,,20240204
현대차,228400,1,238000,1,2049,7551,238000,228400,3.17,5380,20240205
현대차,239350,1,235500,1,2074,-5924,235500,239350,-2.52,5380,20240206
삼성전자,74430,1,74400,1,651,-681,74400,74430,-0.92,5930,20240206
삼성전자,74540,1,75000,1,655,-195,75000,74540,-0.26,5930,20240207
현대차,236450,1,245000,1,2114,6436,245000,236450,2.63,5380,20240207
현대차,245850,1,250000,1,2173,1977,250000,245850,0.79,5380,20240208
삼성전자,75120,1,74100,1,652,-1672,74100,75120,-2.26,5930,20240208
,,,,,,,,,,,20240209
,,,,,,,,,,,20240210
,,,,,,,,,,,20240211
,,,,,,,,,,,20240212
삼성전자,74260,1,75200,1,655,285,75200,74260,0.38,5930,20240213
현대차,250900,1,249000,1,2185,-4085,249000,250900,-1.64,5380,20240213
현대차,250350,1,245500,1,2165,-7015,245500,250350,-2.86,5380,20240214
삼성전자,74060,1,73000,1,642,-1702,73000,74060,-2.33,5930,20240215
현대차,246150,1,240000,1,2122,-8272,240000,246150,-3.45,5380,20240215
현대차,241350,1,252500,1,2170,8980,252500,241350,3.56,5380,20240216
삼성전자,73140,1,72800,1,638,-978,72800,73140,-1.34,5930,20240216
